City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,port-aux-francais,-49.35,70.2167,277.67,75,93,15.59,TF
1,punta arenas,-53.15,-70.9167,272.32,79,22,3.64,CL
2,yellowknife,62.456,-114.3525,295.14,36,32,4.74,CA
3,portland,45.5234,-122.6762,299.47,41,75,4.63,US
4,gizo,-8.103,156.8419,300.16,86,100,7.81,SB
5,grytviken,-54.2811,-36.5092,273.96,99,100,5.24,GS
6,klyuchi,52.2667,79.1667,295.08,43,100,1.68,RU
7,emerald,-23.5333,148.1667,295.56,50,86,7.01,AU
8,lautoka,-17.6167,177.4667,295.07,83,100,3.6,FJ
9,grand baie,-20.0182,57.5802,292.41,78,27,2.87,MU
10,chonchi,-42.6128,-73.8092,281.55,99,100,1.27,CL
11,la passe,45.5549,-0.8967,292.58,94,18,2.98,FR
12,lebu,-37.6167,-73.65,281.79,85,90,0.19,CL
13,thompson,55.7435,-97.8558,285.24,93,100,3.32,CA
14,puerto natales,-51.7236,-72.4875,271.49,92,100,0.94,CL
15,blackmans bay,-43.0167,147.3167,286.33,69,100,2.12,AU
16,gadzhiyevo,69.2551,33.3362,283.53,94,100,0.52,RU
17,stanley,54.868,-1.6985,286.77,92,75,1.03,GB
18,buka,40.8108,69.1986,307.28,13,3,5.03,UZ
19,whitby,54.4877,-0.615,287.67,93,100,0.45,GB
20,badger,64.8,-147.5333,302.88,48,75,0.0,US
21,olonkinbyen,70.9221,-8.7187,277.79,89,100,4.61,SJ
22,nagqu,31.5,92.0,279.75,80,100,0.55,CN
23,bredasdorp,-34.5322,20.0403,281.86,91,0,2.02,ZA
24,papatowai,-46.5619,169.4708,279.59,79,100,9.66,NZ
25,qamdo,31.1667,97.2333,282.64,58,99,2.2,CN
26,menaka,15.9182,2.4022,307.66,36,99,4.63,ML
27,hermanus,-34.4187,19.2345,284.87,84,0,3.02,ZA
28,vadso,70.0744,29.7487,283.24,93,100,2.57,NO
29,howrah,22.5892,88.3103,303.15,84,40,4.12,IN
30,waitangi,-43.9535,-176.5597,280.83,89,88,8.27,NZ
31,kovdor,67.5662,30.4758,284.87,92,100,0.45,RU
32,ilulissat,69.2167,-51.1,281.16,71,0,1.54,GL
33,tommot,58.9564,126.2925,299.96,55,5,3.03,RU
34,longyearbyen,78.2186,15.6401,284.06,71,40,2.06,SJ
35,lihue,21.9789,-159.3672,301.92,72,40,7.2,US
36,qaqortoq,60.7167,-46.0333,280.13,81,92,2.8,GL
37,banda aceh,5.5577,95.3222,303.36,62,100,5.37,ID
38,berezovyy,51.6667,135.7,302.66,46,27,0.47,RU
39,serang,-6.1149,106.1502,301.79,70,56,1.77,ID
40,bikenibeu village,1.3673,173.1241,304.13,70,20,3.09,KI
41,ust-nera,64.5667,143.2,288.14,54,96,3.4,RU
42,illizi,26.4833,8.4667,305.41,11,0,3.45,DZ
43,edinburgh of the seven seas,-37.0676,-12.3116,283.79,53,67,10.16,SH
44,tual,-5.6667,132.75,299.09,82,47,9.44,ID
45,belle glade,26.6845,-80.6676,299.83,77,99,2.01,US
46,seven pagodas,12.6264,80.1722,302.18,67,99,7.81,IN
47,palopo,-2.9996,120.1921,301.62,66,12,2.32,ID
48,isafjordur,66.0755,-23.124,280.0,88,98,5.29,IS
49,albany,42.6001,-73.9662,297.38,82,100,2.15,US
50,kourou,5.1552,-52.6478,298.18,86,81,2.82,GF
51,nova sintra,14.8667,-24.7167,296.09,85,63,7.68,CV
52,iskateley,67.6803,53.1512,292.09,63,87,1.24,RU
53,nicoya,10.1483,-85.452,297.56,89,96,1.45,CR
54,bethel,41.3712,-73.414,297.87,78,0,4.12,US
55,tiksi,71.6872,128.8694,280.85,72,37,3.0,RU
56,kimbe,-5.5502,150.1429,304.84,58,98,4.14,PG
57,adamstown,-25.066,-130.1015,292.87,61,32,6.03,PN
58,sangin,32.0728,64.8359,305.62,32,5,1.06,AF
59,utrik,11.2278,169.8474,301.1,80,100,7.86,MH
60,brisas barra de suchiate,14.55,-92.2167,300.25,72,58,1.39,MX
61,yeppoon,-23.1333,150.7333,296.03,62,39,7.89,AU
62,siwa oasis,29.2041,25.5195,302.19,32,2,2.35,EG
63,puerto ayora,-0.7393,-90.3518,297.9,93,78,2.24,EC
64,constantia,44.1833,28.65,294.65,88,99,6.89,RO
